"VOG.number"	"Host.Domain"	"Number.of.Proteins"	"Number.of.Genomes"	"Number.of.Known.Virus.Families"	"Number.of.Known.Virus.Genera"	"Proteins.Annotations"	"Mapping.to.POGs.2013"	"Short.Annotations"	"FreqVir"	"FreqHost"	"Viral Quotient"
"1950"	"VOG1348"	"Bacteria"	166	166	3	4	"hypothetical protein [n=126]; putative structural protein [n=10]; No annotation provided [n=7]; structural protein [n=3]; P2 gpD-like protein [n=3]; gp38 [n=2]; Phage protein [n=1]; AB1gp82 [n=1]; BcepNY3gp38 [n=1]; hypothetical protein [Escherichia phage vB_EcoM_FFH2] [n=1]; conserved hypothetical protein [n=1]; conserved hypothetical protein ORF039 [n=1]; gp033 [n=1]; gp21 [n=1]; hyphothetical protein [n=1]; gp11 [n=1]; gp69 [n=1]; putative baseplate hub [n=1]; Phi92_gp137 [n=1]; gp40 [n=1]; "	"Union of: POG1348; POG2134"	NA	0.0591397849	0.0214471838	0.7338628796
"1951"	"VOG1350"	"Bacteria"	89	86	2	1	"hypothetical protein [n=65]; No annotation provided [n=5]; tape-measure chaperone [n=4]; tape measure chaperone [n=3]; putative structural protein [n=3]; tail assembly chaperone [n=2]; hypothetical protein [Enterobacteria phage vB_EcoM-FV3] [n=1]; gp64 [n=1]; Phi92_gp132 [n=1]; structural protein [n=1]; hyphothetical protein [n=1]; gp029 [n=1]; protein of unknown function [n=1]; "	"Mapped to: POG1350"	"tail protein"	0.0302419355	0.000200441	0.9934157253
"1952"	"VOG1352"	"Bacteria"	173	173	3	4	"hypothetical protein [n=81]; structural protein [n=25]; putative structural protein [n=23]; No annotation provided [n=8]; tail sheath protein [n=5]; virion protein [n=4]; putative structural protein 1 [n=3]; phage conserved structural protein [n=2]; conserved structural protein [n=2]; gp04 [n=2]; putative major tail protein [n=1]; AB1gp03 [n=1]; gp62 [n=1]; putative virion component [n=1]; Phage protein [n=1]; phage protein [n=1]; putative structure protein [n=1]; gp027 [n=1]; gp17 [n=1]; Phage conserved structural protein [n=1]; gp73 [n=1]; BcepNY3gp03 [n=1]; tail sheath protein [Escherichia phage vB_EcoM_FFH2] [n=1]; gp14 [n=1]; hypothetical protein ORF029 [n=1]; putative phage stuctural protein [n=1]; putative tail sheath protein [n=1]; Phi92_gp130 [n=1]; "	"Mapped to: POG1352"	"tail protein"	0.0584677419	0.0152335137	0.7933072701
"1953"	"VOG1353"	"Bacteria"	168	168	3	4	"hypothetical protein [n=129]; putative RNA polymerase [n=12]; No annotation provided [n=10]; gp07 [n=3]; putative tail protein [n=2]; phage conserved protein [n=2]; BcepNY3gp06 [n=1]; gp20 [n=1]; unknown structural protein [n=1]; Phi92_gp127 [n=1]; AB1gp09 [n=1]; gp11 [n=1]; gp024 [n=1]; hyphothetical protein [n=1]; putative morphogenesis protein [n=1]; hypothetical protein ORF028 [n=1]; "	"Union of: POG1353; POG1875"	"tail protein"	0.0561155914	0.0142313089	0.7976981385
"1954"	"VOG1355"	"Bacteria"	65	65	1	1	"hypothetical protein [n=56]; No annotation provided [n=5]; Phi92_gp122 [n=1]; putative scaffold protein [n=1]; head stabilization/decoration protein [n=1]; hyphothetical protein [n=1]; "	"Mapped to: POG1355"	"scaffolding protein"	0.0211693548	0	1
"1955"	"VOG1356"	"Bacteria"	175	174	3	8	"hypothetical protein [n=96]; portal protein [n=43]; putative portal protein [n=9]; No annotation provided [n=5]; structural protein [n=3]; DUF935-like protein [n=3]; PF06074 family protein [n=2]; gp3 [n=2]; virion protein [n=1]; portal [n=1]; hyphothetical protein [n=1]; putative structural protein [n=1]; gp29 [n=1]; hypothetical protein RDJLphi1_gp67 [n=1]; gp017 [n=1]; gp6 [n=1]; hypothetical protein [Escherichia phage vB_EcoM_FFH2] [n=1]; portal protein gp29 [n=1]; Mu gp29-like protein [n=1]; Phi92_gp120 [n=1]; "	"Union of: POG1356; POG2159"	"portal"	0.061827957	0.013429545	0.8215520759
"1956"	"VOG1358"	"Bacteria"	40	40	3	3	"hypothetical protein [n=37]; gp530 [n=1]; Phage tail fiber protein [n=1]; hyphothetical protein [n=1]; "	"Mapped to: POG1358"	"tail protein"	0.0134408602	0.0044097013	0.7529656796
"1957"	"VOG1359"	"Bacteria"	24	24	3	3	"hypothetical protein [n=21]; No annotation provided [n=1]; tRNA-undetermined [n=1]; hyphothetical protein [n=1]; "	"Mapped to: POG1359"	NA	0.0080645161	0	1
"1958"	"VOG1361"	"Bacteria"	18	18	2	2	"hypothetical protein [n=16]; hyphothetical protein [n=1]; No annotation provided [n=1]; "	"Mapped to: POG1361"	NA	0.0060483871	0	1
"1959"	"VOG1362"	"Bacteria"	38	38	1	1	"hypothetical protein [n=25]; putative ATPase [n=3]; No annotation provided [n=2]; AAA domain-containing protein [n=1]; putative phosphatase [n=1]; AAA protein [n=1]; nucleoside triphosphate hydrolase [n=1]; NEDD4-binding protein [n=1]; hypothetical protein [Escherichia phage vB_EcoM_FFH2] [n=1]; putative phosphoesterase [n=1]; Phi92_gp095 [n=1]; "	"Mapped to: POG1362"	NA	0.0131048387	0.0282621768	0.3167943965
"1960"	"VOG1363"	"Bacteria"	42	42	3	3	"putative Sir2-like protein [n=16]; Sir2-like protein [n=5]; NAD-dependent protein deacetylase of SIR2 family [n=4]; NAD-dependent deacetylase [n=3]; Sir2/CobB protein [n=2]; NAD dependent deacetylase [n=2]; NAD-dependent protein deacylase [n=2]; Sir2 family NAD-dependent protein deacetylase [n=1]; putative Sir2-like transferase [n=1]; putative Sir2-like protein (NAD-dependent deacetylase) [n=1]; putative hydrolase [n=1]; No annotation provided [n=1]; putative Sir2-like protein [Enterobacteria phage vB_EcoM-FV3] [n=1]; Phi92_gp038 [n=1]; hypothetical protein [n=1]; "	"Mapped to: POG1363"	NA	0.0141129032	0.6560432952	0.0210591251
"1961"	"VOG1364"	"Bacteria"	11	11	3	1	"hypothetical protein [n=7]; hypothetical membrane protein [n=1]; gp19 [n=1]; No annotation provided [n=1]; gp044 [n=1]; "	"Mapped to: POG1364"	NA	0.0036962366	0.0128282221	0.2236827625
"1962"	"VOG1365"	"Bacteria"	30	30	2	2	"hypothetical protein [n=26]; EndoVII packaging and recombination endonuclease [n=1]; No annotation provided [n=1]; hypothetical protein [Escherichia phage 2 JES-2013] [n=1]; hyphothetical protein [n=1]; "	"Mapped to: POG1365"	"nuclease"	0.0104166667	0.0004008819	0.9629415171
"1963"	"VOG1369"	"Bacteria"	115	115	3	5	"hypothetical protein [n=97]; No annotation provided [n=6]; putative DNA recombination-mediator protein A [n=4]; DprA-like protein [n=2]; hyphothetical protein [n=1]; Phi92_gp047 [n=1]; ORF207 [n=1]; gp141 [n=1]; "	"Mapped to: POG1369"	NA	0.0369623656	0.0026057326	0.9341456191
"1964"	"VOG1370"	"Bacteria"	31	31	1	2	"hypothetical protein [n=28]; hyphothetical protein [n=1]; gp84 [n=1]; No annotation provided [n=1]; "	"Mapped to: POG1370"	NA	0.0204973118	0	1
"1965"	"VOG1371"	"Bacteria"	38	38	2	1	"hypothetical protein [n=30]; No annotation provided [n=5]; hypothetical protein [Escherichia phage rv5] [n=1]; gp19 [n=1]; hyphothetical protein [n=1]; "	"Mapped to: POG1371"	NA	0.0134408602	0	1
"1966"	"VOG1372"	"Bacteria"	27	27	2	2	"hypothetical protein [n=20]; No annotation provided [n=3]; gp15 [n=1]; hyphothetical protein [n=1]; hypothetical protein PsPhKPP10_gp145 [n=1]; "	"Mapped to: POG1372"	NA	0.0084005376	0	1
"1967"	"VOG1373"	"Bacteria"	19	19	1	1	"hypothetical protein [n=18]; hyphothetical protein [n=1]; "	"Mapped to: POG1373"	NA	0.0070564516	0	1
"1968"	"VOG1374"	"Bacteria"	29	29	2	2	"hypothetical protein [n=26]; gp19 [n=1]; gp105 [n=1]; No annotation provided [n=1]; "	"Mapped to: POG1374"	NA	0.0100806452	0.000200441	0.980503911
"1969"	"VOG1375"	"Bacteria"	19	19	1	1	"hypothetical protein [n=16]; hyphothetical protein [n=1]; gp16 [n=1]; gp104 [n=1]; "	"Mapped to: POG1375"	NA	0.0070564516	0	1
"1970"	"VOG1376"	"Bacteria"	26	26	2	2	"hypothetical protein [n=21]; No annotation provided [n=3]; gp86 [n=1]; hyphothetical protein [n=1]; "	"Mapped to: POG1376"	NA	0.0087365591	0	1
"1971"	"VOG1377"	"Bacteria"	41	41	2	2	"hypothetical protein [n=36]; No annotation provided [n=2]; putative carbohydrate binding domain protein [n=1]; hypothetical protein [Escherichia phage rv5] [n=1]; hyphothetical protein [n=1]; "	"Mapped to: POG1377"	NA	0.0137768817	0	1
"1972"	"VOG1379"	"Bacteria"	74	74	2	1	"hypothetical protein [n=49]; N4 gp25-like protein [n=4]; metallopeptidase domain protein [n=3]; DNA repair ATPase [n=2]; gp25-like protein [n=2]; metallopeptidase [n=2]; putative metallopeptidase domain protein [n=1]; gp576 [n=1]; Zn-dependent hydrolase [n=1]; putative HNH endonuclease [n=1]; gp25 [n=1]; hypothetical protein [Escherichia phage vB_EcoM_FFH2] [n=1]; gp036 [n=1]; vWA-like domain-containing protein [n=1]; putative anti-sigma factor [n=1]; putative metallopeptidase domain [n=1]; "	"Mapped to: POG1379"	"nuclease"	0.0248655914	0.0597314091	0.2939299414
"1973"	"VOG1381"	"Bacteria"	33	33	3	2	"hypothetical protein [n=23]; gp168 [n=1]; DUF2829 domain containing protein [n=1]; gp15 [n=1]; hyphothetical protein [n=1]; "	"Mapped to: POG1381"	NA	0.0110887097	0	1
"1974"	"VOG1382"	"Bacteria"	236	234	3	8	"hypothetical protein [n=158]; putative phosphatase [n=15]; Tk.4 conserved hypothetical protein [n=10]; Macro domain protein [n=7]; macro domain containing protein [n=5]; macro domain protein [n=4]; No annotation provided [n=4]; Appr-1-p processing enzyme family protein [n=3]; Tk.4 [n=3]; phage conserved protein [n=2]; Appr-1-p processing enzyme family [n=2]; tk.4 hypothetical protein [Enterobacteria phage RB51] [n=1]; Tk.4 protein [n=1]; hypothetical protein Tk.4 [n=1]; Phi92_gp185 [n=1]; gp101 [n=1]; hypothetical protein [Enterobacteria phage vB_EcoM-FV3] [n=1]; Macro domain-containing protein [n=1]; Appr-1-p processing-like protein [n=1]; ADP-ribose-binding protein [n=1]; gp13 [n=1]; Phage protein [n=1]; Appr-1-P processing domain-containing protein [n=1]; putative Appr-1-p processing protein [n=1]; ORF104 [n=1]; Tk.4 conserved hypothetical phage protein [n=1]; gp437 [n=1]; Appr-1-p processing domain protein [n=1]; ADP-ribose binding protein [n=1]; gp122 [n=1]; putative 17.5 kDa protein [n=1]; Phage conserved protein [n=1]; appr_1_p processing domain-containing protein [n=1]; phage protein [n=1]; "	"Mapped to: POG1382"	NA	0.0762768817	0.0757666867	0.5016777921
"1975"	"VOG1383"	"Bacteria"	28	28	3	4	"hypothetical protein [n=25]; ADP-ribosyltransferase [n=1]; putative leukotoxin LktA-like protein [n=1]; hyphothetical protein [n=1]; "	"Mapped to: POG1383"	NA	0.0094086022	0.0024052916	0.7964014504
"1976"	"VOG1384"	"Bacteria"	97	97	3	4	"hypothetical protein [n=23]; putative cell wall hydrolase [n=17]; putative endolysin [n=7]; cell wall hydrolase SleB [n=6]; No annotation provided [n=5]; putative cell wall hydrolase SleB [n=5]; cell wall hydrolase [n=5]; spore cortex-lytic enzyme precursor [n=5]; SleB [n=5]; secreted N-acetylmuramyl-L-alanine amidase [n=3]; putative hydrolase [n=2]; putative cell wall hydrolyse [n=1]; endolysin [n=1]; cell wall hydrolase-like protein [n=1]; N-acetylmuramyl-L-alanine amidase [n=1]; cell wall hydrolyse [n=1]; Putative endolysin [n=1]; spore cortex lytic enzyme precursor [n=1]; putative cell wall hydrolase domain protein [n=1]; Phi92_gp170 [n=1]; SleB [Escherichia phage vB_EcoM_FFH2] [n=1]; cell wall hydrolase domain protein [n=1]; Cell Wall Hydrolase [n=1]; "	"Mapped to: POG1384"	NA	0.0336021505	0.1633593907	0.1706025975
"1977"	"VOG1386"	"Bacteria"	15	15	1	0	"hypothetical protein [n=15]; "	"Mapped to: POG1386"	NA	0.0047043011	0	1
"1978"	"VOG1388"	"Bacteria"	7	7	2	1	"hypothetical protein [n=7]; "	"Mapped to: POG1388"	NA	0.0030241935	0.000200441	0.9378407168
"1979"	"VOG1389"	"Bacteria"	17	17	2	1	"hypothetical protein [n=12]; gp9 [n=2]; gp87 [n=1]; gp77 [n=1]; gp85 [n=1]; "	"Mapped to: POG1389"	NA	0.0053763441	0	1
"1980"	"VOG1390"	"Bacteria"	24	24	2	1	"hypothetical protein [n=22]; No annotation provided [n=2]; "	"Mapped to: POG1390"	NA	0.0043682796	0	1
"1981"	"VOG1391"	"Bacteria"	82	82	3	1	"transaldolase-like protein [n=47]; transaldolase [n=23]; transaldolase family protein [n=4]; TalC [n=3]; TalC transaldolase-like protein [n=2]; translaldolase [n=1]; Transaldolase [n=1]; putative transaldolase [n=1]; "	"Mapped to: POG1391"	NA	0.0278897849	0.4521948286	0.058093478
"1982"	"VOG1392"	"Bacteria"	19	19	2	0	"hypothetical protein [n=17]; gp50 [n=2]; "	"Mapped to: POG1392"	NA	0.0063844086	0	1
"1983"	"VOG1393"	"Bacteria"	127	125	4	6	"hypothetical protein [n=114]; gp187 [n=3]; hypothetical cyanophage protein [n=2]; No annotation provided [n=2]; gp48 [n=1]; Phage conserved protein [n=1]; gp77 [n=1]; Dc5 [n=1]; Hypothetical-Protein  [n=1]; gp043 [n=1]; "	"Union of: POG1393; POG1484"	NA	0.0406586022	0	1
"1984"	"VOG1394"	"Bacteria"	85	85	3	1	"hypothetical protein [n=79]; gp165 [n=6]; "	"Mapped to: POG1394"	NA	0.0228494624	0	1
"1985"	"VOG1395"	"Bacteria"	97	96	3	1	"hypothetical protein [n=93]; hypothetical cyanophage protein [n=1]; No annotation provided [n=1]; hypothetical protein [Escherichia phage vB_EcoM_FFH2] [n=1]; gp161 [n=1]; "	"Mapped to: POG1395"	NA	0.0295698925	0	1
"1986"	"VOG1396"	"Bacteria"	13	12	1	0	"hypothetical protein [n=13]; "	"Mapped to: POG1396"	NA	0.0036962366	0	1
"1987"	"VOG1397"	"Bacteria"	15	15	2	1	"hypothetical protein [n=14]; lysozyme [n=1]; "	"Mapped to: POG1397"	NA	0.0050403226	0	1
"1988"	"VOG1400"	"Bacteria"	20	20	1	0	"hypothetical protein [n=10]; internal virion protein [n=5]; internal core protein [n=3]; T7-like internal core protein [n=1]; internal virion protein D [n=1]; "	"Mapped to: POG1400"	NA	0.0060483871	0.000200441	0.9679234301
"1989"	"VOG1401"	"Bacteria"	25	25	2	1	"hypothetical protein [n=24]; "	"Mapped to: POG1401"	NA	0.0090725806	0	1
"1990"	"VOG1402"	"Bacteria"	4	4	1	0	"hypothetical protein [n=4]; "	"Mapped to: POG1402"	NA	0.0016801075	0.0016035278	0.5116608209
"1991"	"VOG1403"	"Bacteria"	95	83	3	1	"DUF680 domain-containing protein [n=51]; hypothetical protein [n=34]; gp222 [n=7]; DUF680 [n=2]; hypothetical cyanophage protein [n=1]; "	"Mapped to: POG1403"	NA	0.0282258065	0	1
"1992"	"VOG1404"	"Bacteria"	90	90	3	1	"photosystem II D1 protein [n=63]; photosystem II protein D1 [n=7]; core photosystem II reaction center protein [n=4]; photosystem II reaction center protein PsbA/D1 [n=3]; photosystem II D2 protein [n=3]; photosystem D1 protein [n=2]; D1 protein [n=1]; photosystem II DI protein [n=1]; PsbD photosystem II D2 protein [n=1]; D1 [n=1]; PsbA [n=1]; photosystem II reaction centre protein PsbA/D1 [n=1]; photosystem Q(B) protein [n=1]; PsbA photosystem I D1 protein [n=1]; "	"Mapped to: POG1404"	NA	0.0302419355	0.0164361596	0.6478828123
"1993"	"VOG1405"	"Bacteria"	163	96	3	1	"high light inducible protein [n=99]; hypothetical protein [n=21]; No annotation provided [n=18]; high-light inducible protein [n=5]; Hli03 high light inducible protein [n=4]; putative high light inducible protein [n=4]; hgh-light inducible protein [n=3]; High Light Inducible Proteins [n=2]; HLIP [n=2]; putative high-light inducible protein [n=1]; Hli04 high light inducible protein [n=1]; Hli04 [n=1]; Hli01 [n=1]; "	"Union of: POG1405; POG4144"	NA	0.0302419355	0.013229104	0.6956800625
"1994"	"VOG1406"	"Bacteria"	52	51	1	2	"hypothetical protein [n=50]; gp35 [n=1]; conserved hypothetical phage protein [n=1]; "	"Mapped to: POG1406"	NA	0.0171370968	0.000200441	0.9884389022
"1995"	"VOG1407"	"Bacteria"	18	18	2	0	"hypothetical protein [n=10]; gp34 [n=5]; class I ribonucleotide reductase beta subunit [n=3]; "	"Mapped to: POG1407"	NA	0.0060483871	0	1
"1996"	"VOG1410"	"Bacteria"	53	51	3	4	"hypothetical protein [n=45]; unnamed protein product [n=3]; No annotation provided [n=3]; gp186 [n=1]; "	"Union of: POG1410; POG0150"	NA	0.0178091398	0.000200441	0.9888703145
"1997"	"VOG1411"	"Bacteria"	56	56	2	1	"hypothetical protein [n=54]; No annotation provided [n=1]; gp80 [n=1]; "	"Mapped to: POG1411"	NA	0.0174731183	0	1
"1998"	"VOG1412"	"Bacteria"	9	9	1	0	"hypothetical protein [n=9]; "	"Mapped to: POG1412"	NA	0.0030241935	0	1
"1999"	"VOG1414"	"Bacteria"	177	177	3	3	"hypothetical protein [n=41]; double-stranded DNA binding protein [n=39]; putative replication initiation factor [n=22]; dsDNA binding protein [n=10]; dsDNA binding protein late transcription [n=8]; dsDNA-binding protein [n=7]; Transcriptional regulator DsbA [n=6]; putative DnaA-like protein [n=5]; DsbA dsDNA binding protein [n=5]; dsDNA binding protein, late transcription [n=4]; DsbA [n=3]; DsbA dsDNA binding protein late transcription [n=3]; double-stranded DNA-binding protein [n=2]; transcriptional regulator [n=2]; No annotation provided [n=1]; DsbA dsDNA binding protein, late transcription [n=1]; DsbA dsDNA-binding protein [n=1]; putative replication initiation protein [n=1]; phage double-stranded DNA-binding protein [n=1]; hypothetical protein [Escherichia phage vB_EcoM_FFH2] [n=1]; dsDNA binding [n=1]; dsDNA-binding, transcription factor [n=1]; DsbA dsDNA binding [n=1]; DsbA late transcription dsDNA binding protein [n=1]; Putative Double-stranded DNA binding protein; DsbA [n=1]; DsbA double-stranded DNA binding protein [n=1]; phage double-stranded DNA binding protein #T4-like dsbA, late transcriptional regulation #T4 GC1668 [n=1]; late transcription dsDNA binding protein [n=1]; disulfide bond forming protein [n=1]; hyphothetical protein [n=1]; hypothetical protein Shfl2p247 [Shigella phage Shfl2] [n=1]; "	"Mapped to: POG1414"	NA	0.0527553763	0	1
"2000"	"VOG1415"	"Bacteria"	13	13	2	1	"hypothetical protein [n=10]; gp169 [n=1]; "	"Mapped to: POG1415"	NA	0.0033602151	0	1
"2001"	"VOG1416"	"Bacteria"	20	20	2	1	"hypothetical protein [n=18]; No annotation provided [n=2]; "	"Mapped to: POG1416"	NA	0.0063844086	0.000200441	0.9695602811
"2002"	"VOG1418"	"Bacteria"	63	63	3	4	"hypothetical protein [n=27]; tail assembly protein [n=5]; minor tail protein [n=4]; virion protein [n=3]; conserved tail assembly protein [n=3]; putative FAD/FMN-containing dehydrogenase [n=3]; putative tail assembly protein [n=2]; No annotation provided [n=2]; TIGR02218 family protein [n=2]; gene transfer agent [n=2]; virion structural protein [n=1]; putative tail assembly protein 2 [n=1]; RepB [n=1]; structural phage protein [n=1]; viron structural protein [n=1]; putative virion structural protein [n=1]; tail assembly structural protein [n=1]; hypothetical protein ORF024 [n=1]; hypothetical protein ORF035 [n=1]; Viron structural protein [n=1]; "	"Mapped to: POG1418"	"tail assembly protein"	0.0278897849	0.0310683504	0.4730438776
"2003"	"VOG1419"	"Bacteria"	68	68	3	4	"hypothetical protein [n=34]; tail assembly protein [n=6]; central tail hub [n=4]; virion structural protein [n=4]; tail protein [n=4]; No annotation provided [n=2]; tail assembly structural protein [n=1]; conserved tail assembly protein [n=1]; putative tail protein [n=1]; putative tail assembly protein [n=1]; structural phage protein [n=1]; tail component [n=1]; virion protein, putative tail protein [n=1]; Virion structural protein [n=1]; tail sheath monomer [n=1]; hypothetical protein ORF038 [n=1]; phage tail protein [n=1]; hypothetical protein ORF025 [n=1]; minor tail protein [n=1]; putative cell wall amidase [n=1]; "	"Mapped to: POG1419"	"tail assembly protein"	0.0231854839	0.006814993	0.772837178
"2004"	"VOG1422"	"Bacteria+Archaea"	82	81	5	11	"hypothetical protein [n=18]; PAPS reductase [n=8]; gp4 [n=7]; NinC protein [n=7]; phosphoadenosine phosphosulfate reductase [n=6]; putative phosphoadenosine phosphosulfate reductase [n=4]; PAPS reductase-like protein [n=3]; PAPs reductase [n=3]; 3''-phosphoadenosine 5''-phosphosulfate sulfotransferase/FAD synthetase-related enzyme [n=2]; tRNA methyltransferase [n=2]; tRNA methyl transferase [n=2]; gp3 [n=2]; NinC [n=2]; co-activator of prophage gene expression IbrA [n=1]; gp61 [n=1]; putative PAPS reductase/sulfotransferase [n=1]; Orf84 [n=1]; PUA-PAPS reductase-like fusion protein [n=1]; gp56 [n=1]; PAPS reductase domain protein [n=1]; gp66 [n=1]; putative PAPS [n=1]; ninC-like protein [n=1]; gp67 [n=1]; gp72 [n=1]; putative NinC recombination protein [n=1]; phosphoadenylyl-sulfate reductase [n=1]; gp160 [n=1]; putative structural protein [n=1]; "	"Union of: POG1422; POG1421"	NA	0.0272177419	0.2106634596	0.114417372
"2005"	"VOG1424"	"Bacteria"	30	30	1	2	"hypothetical protein [n=28]; unknown structural protein [n=1]; gp013 [n=1]; "	"Mapped to: POG1424"	NA	0.0144489247	0	1
"2006"	"VOG1426"	"Bacteria"	21	21	1	1	"hypothetical protein [n=15]; conserved structural protein [n=1]; putative structural protein [n=1]; gp021 [n=1]; putative tail specific protease [n=1]; structural protein [n=1]; gp56 [n=1]; "	"Mapped to: POG1426"	"tail protein"	0.0073924731	0	1
"2007"	"VOG1427"	"Bacteria"	42	42	1	1	"hypothetical protein [n=36]; No annotation provided [n=5]; gp023 [n=1]; "	"Mapped to: POG1427"	NA	0.0178091398	0	1
"2008"	"VOG1428"	"Bacteria"	61	61	2	1	"hypothetical protein [n=55]; gp025 [n=1]; Phi92_gp128 [n=1]; hypothetical protein [Enterobacteria phage vB_EcoM-FV3] [n=1]; hyphothetical protein [n=1]; "	"Mapped to: POG1428"	NA	0.0231854839	0.0004008819	0.983003658
"2009"	"VOG1429"	"Bacteria"	12	12	1	1	"hypothetical protein [n=11]; gp026 [n=1]; "	"Mapped to: POG1429"	NA	0.0077284946	0	1
"2010"	"VOG1433"	"Bacteria"	155	155	3	5	"hypothetical protein [n=116]; putative structural protein [n=11]; No annotation provided [n=10]; structural protein [n=3]; Phage protein [n=1]; hypothetical protein ORF031 [n=1]; BcepNY3gp51 [n=1]; gp20 [n=1]; hypothetical protein [Escherichia phage vB_EcoM_FFH2] [n=1]; gp12 [n=1]; gp032 [n=1]; gp52 [n=1]; Phi92_gp136 [n=1]; hyphothetical protein [n=1]; DNA polymerase [n=1]; gp43 [n=1]; gp50 [n=1]; gp49 [n=1]; "	"Union of: POG1433; POG1922; POG2136; POG1957; POG1876"	NA	0.0557795699	0.0176388054	0.7597494454
"2011"	"VOG1436"	"Bacteria"	18	18	1	1	"tail fiber protein [n=7]; putative tail fiber protein [n=6]; hypothetical protein [n=4]; Putative tail fiber protein [n=1]; "	"Mapped to: POG1436"	"tail protein"	0.0063844086	0	1
"2012"	"VOG1439"	"Bacteria"	13	13	1	1	"hypothetical protein [n=12]; gp050 [n=1]; "	"Mapped to: POG1439"	NA	0.0073924731	0	1
"2013"	"VOG1442"	"Bacteria"	14	14	2	2	"hypothetical protein [n=13]; gp34 [n=1]; "	"Mapped to: POG1442"	NA	0.0057123656	0.0020044097	0.7402529392
"2014"	"VOG1443"	"Bacteria"	17	17	1	1	"hypothetical protein [n=14]; gp061 [n=1]; conserved phage protein [n=1]; gp96 [n=1]; "	"Mapped to: POG1443"	NA	0.0094086022	0	1
"2015"	"VOG1445"	"Bacteria"	13	13	1	1	"hypothetical protein [n=12]; gp066 [n=1]; "	"Mapped to: POG1445"	NA	0.0077284946	0	1
"2016"	"VOG1446"	"Bacteria"	34	34	2	2	"hypothetical protein [n=26]; nucleoside triphosphate pyrophosphohydrolase [n=3]; putative nucleoside triphosphate pyrophosphohydrolase [n=2]; gp070 [n=1]; gp108 [n=1]; conserved uncharacterised protein [n=1]; "	"Mapped to: POG1446"	NA	0.0141129032	0	1
"2017"	"VOG1447"	"Bacteria"	50	50	1	1	"hypothetical protein [n=43]; No annotation provided [n=5]; gp071 [n=1]; gp109 [n=1]; "	"Mapped to: POG1447"	NA	0.0168010753	0	1
"2018"	"VOG1448"	"Bacteria"	31	31	2	2	"hypothetical protein [n=28]; gp079 [n=1]; No annotation provided [n=1]; gp29 [n=1]; "	"Mapped to: POG1448"	NA	0.0124327957	0	1
"2019"	"VOG1451"	"Bacteria"	18	16	1	1	"hypothetical protein [n=16]; Phi92_gp200 [n=1]; gp081 [n=1]; "	"Mapped to: POG1451"	NA	0.0080645161	0	1
"2020"	"VOG1456"	"Bacteria"	13	13	1	1	"hypothetical protein [n=11]; gp5 [n=1]; gp095 [n=1]; "	"Mapped to: POG1456"	NA	0.0077284946	0	1
"2021"	"VOG1457"	"Bacteria"	10	10	2	2	"hypothetical protein [n=9]; gp9 [n=1]; "	"Mapped to: POG1457"	NA	0.0043682796	0	1
"2022"	"VOG1460"	"Bacteria"	28	28	1	1	"hypothetical protein [n=25]; No annotation provided [n=2]; gp111 [n=1]; "	"Mapped to: POG1460"	NA	0.0110887097	0	1
"2023"	"VOG1461"	"Bacteria"	17	17	1	1	"hypothetical protein [n=17]; "	"Mapped to: POG1461"	NA	0.0063844086	0	1
"2024"	"VOG1462"	"Bacteria"	19	19	1	1	"hypothetical protein [n=17]; gp22 [n=1]; gp116 [n=1]; "	"Mapped to: POG1462"	NA	0.0077284946	0	1
"2025"	"VOG1467"	"Bacteria"	12	12	1	1	"hypothetical protein [n=11]; gp098 [n=1]; "	"Mapped to: POG1467"	NA	0.0073924731	0	1
"2026"	"VOG1468"	"Bacteria"	13	13	1	1	"hypothetical protein [n=12]; gp097 [n=1]; "	"Mapped to: POG1468"	NA	0.0073924731	0	1
"2027"	"VOG1472"	"Bacteria"	13	13	1	1	"hypothetical protein [n=12]; gp009 [n=1]; "	"Mapped to: POG1472"	NA	0.0077284946	0	1
"2028"	"VOG1474"	"Bacteria"	45	45	3	5	"hypothetical protein [n=31]; No annotation provided [n=4]; tail assembly protein [n=3]; virion structural protein [n=1]; structural phage protein [n=1]; putative tail assembly protein [n=1]; conserved tail assembly protein [n=1]; putative tail assembly protein 1 [n=1]; tail assembly structural protein [n=1]; "	"Mapped to: POG1474"	"tail assembly protein"	0.0245295699	0.0048105833	0.8360409622
"2029"	"VOG1478"	"Bacteria"	23	18	3	3	"hypothetical protein [n=17]; No annotation provided [n=5]; head outer capsid protein [n=1]; "	"Mapped to: POG1478"	"capsid"	0.0077284946	0	1
"2030"	"VOG1483"	"Bacteria"	11	11	1	1	"hypothetical protein [n=9]; No annotation provided [n=1]; gp038 [n=1]; "	"Mapped to: POG1483"	NA	0.0077284946	0	1
"2031"	"VOG1485"	"Bacteria"	43	43	3	3	"hypothetical protein [n=33]; No annotation provided [n=2]; gp81 [n=1]; gp082 [n=1]; ZPR1 zinc finger protein [n=1]; "	"Mapped to: POG1485"	NA	0.0110887097	0	1
"2032"	"VOG1487"	"Bacteria"	12	11	1	1	"hypothetical protein [n=9]; gp092 [n=1]; No annotation provided [n=1]; gp88 [n=1]; "	"Mapped to: POG1487"	NA	0.0060483871	0	1
