"VOG.number"	"Host.Domain"	"Number.of.Proteins"	"Number.of.Genomes"	"Number.of.Known.Virus.Families"	"Number.of.Known.Virus.Genera"	"Proteins.Annotations"	"Mapping.to.POGs.2013"	"Short.Annotations"
"16"	"VOG0019"	"Bacteria"	238	231	3	6	"RNA polymerase [n=49]; T3/T7-like RNA polymerase [n=33]; DNA-directed RNA polymerase [n=29]; hypothetical protein [n=22]; DNA-dependent RNA polymerase [n=17]; putative RNA polymerase [n=14]; putative DNA-dependent RNA polymerase [n=9]; RNA polymerase subunit [n=6]; No annotation provided [n=6]; putative DNA-dependent RNA polymerase protein [n=5]; gp1 [n=4]; T7-like RNA polymerase [n=3]; DNA-directed RNA polymerase RNAP2 [n=3]; putative DNA-directed RNA polymerase [n=3]; RNA polymerase RNAP2 subunit A [n=3]; RNA polymerase-like protein [n=2]; phage-specific RNA polymerase [n=2]; RNA polymerase subunit 2 [n=2]; N4 gp16-like protein [n=2]; predicted RNA polymerase [n=2]; putative RNAP2 [n=2]; RNA polymerase 2 [n=2]; RNA polymerase large subunit [n=2]; T7-like phage DNA-directed RNA polymerase [n=1]; putative DNA-directed RNA-polymerase [n=1]; putative RNA polymerase subunit [n=1]; N4 RNAP2-like protein [n=1]; predicted phage RNA Polymerase [n=1]; DNA directed RNA polymerase [n=1]; predicted DNA-directed RNA polymerase [n=1]; phage-associated RNA polymerase [n=1]; RNAP2 [n=1]; DNA-directed RNA polymerase, phage-type [n=1]; putative phage RNA polymerase [n=1]; rNA polymerase [n=1]; mitochondrial single-subunit RNA polymerase [n=1]; RNA polymerase subunit A [n=1]; T7 DNA-directed RNA polymerase [n=1]; "	"Union of: POG0019; POG2372"	NA
"17"	"VOG0020"	"Bacteria"	404	404	3	17	"hypothetical protein [n=152]; deoxynucleoside monophosphate kinase [n=52]; dNMP kinase [n=49]; deoxynucleotide monophosphate kinase [n=17]; putative deoxynucleotide monophosphate kinase [n=16]; putative dNMP kinase [n=15]; putative deoxynucleoside monophosphate kinase [n=9]; deoxynucleoside-5'-monophosphate kinase [n=9]; gp1 dNMP kinase [n=8]; adenylate kinase [n=7]; putative adenylate kinase-like protein [n=5]; dephospho-CoA kinase [n=4]; P-loop containing nucleoside triphosphate hydrolase [n=4]; deoxynucleoside-5-monophosphate kinase [n=3]; ATP-binding protein [n=3]; No annotation provided [n=3]; Cof hydrolase [n=2]; gp52 [n=2]; putative adenylate kinase [n=2]; putative ATP-binding protein [n=2]; nucleoside triphosphate hydrolase [n=2]; adenylate kinase-like protein [n=2]; putative hydrolase [n=2]; hypothetical protein [Escherichia phage vB_EcoM_FFH2] [n=1]; deoxynucleoside monophosphate kinase (dNMP kinase) [n=1]; desphospho-CoA kinase [n=1]; gp3 dNMP kinase [n=1]; putative deoxynucleotide monophosphate kinase [Shigella phage Shfl2] [n=1]; phage protein [n=1]; AAA domain protein [n=1]; dephospho-CoA kinase-like protein [n=1]; putative dephospho-CoA kinase [n=1]; gp43 [n=1]; putative deoxynucleoside-5'-monophosphate kinase [n=1]; dephospho coA kinase [n=1]; ABC transporter [n=1]; deoxynucleotide monopohosphate kinase [n=1]; putative dNMP kinase gp1 [n=1]; Putative dNMP kinase [n=1]; predicted hydrolase [n=1]; putative adenylate kinase and related kinases [n=1]; putative deoxynucleotide monophosphate kinase protein [n=1]; gp1 deoxynucleoside monophosphate kinase [n=1]; ATPase-like protein [n=1]; gp56 [n=1]; p051 [n=1]; gp247 [n=1]; deoxynucleotide monophosphate kinase [Enterobacteria phage ime09] [n=1]; Putative deoxynucleotide monophosphate kinase [n=1]; virion structural protein [n=1]; gp14 [n=1]; hyphothetical protein [n=1]; nucleoside hydrolase [n=1]; dephospho-coA kinase [n=1]; kinase [n=1]; deoxynucleotide monophosphate kinase #T4-like phage gp1 #T4 GC1586 [n=1]; putative uncharacterised protein [n=1]; "	"Union of: POG0020; POG1060"	NA
"18"	"VOG0021"	"Bacteria"	194	193	3	8	"hypothetical protein [n=92]; single-stranded DNA-binding protein [n=31]; ssDNA binding protein [n=18]; ssDNA-binding protein [n=11]; single-stranded DNA binding protein [n=4]; gp2.5 [n=4]; putative ssDNA binding protein [n=3]; No annotation provided [n=2]; T7-like phage ssDNA-binding protein [n=2]; conserved phage protein [n=2]; predicted helix-destabilizing protein [n=2]; ligase [n=2]; T7-like ssDNA binding protein [n=1]; ORF022 [n=1]; hypothetical protein RDJLphi1_gp34 [n=1]; gp09 [n=1]; putative single-stand DNA-binding protein [n=1]; predicted single-stranded DNA-binding protein [n=1]; single stranded DNA binding protein [n=1]; ORF018 [n=1]; gp41 [n=1]; putative DNA polymerase [n=1]; putative single-stranded DNA-binding protein [n=1]; Bbp40 [n=1]; DNA-binding protein [n=1]; DNA binding protein [n=1]; ORF019 [n=1]; putative phage single-stranded DNA-binding protein [n=1]; helix-destabilizing protein [n=1]; putative ssDNA-binding protein [n=1]; phage ssDNA-binding protein [n=1]; putative DNA binding protein [n=1]; "	"Union of: POG0021; POG1046; POG1385"	NA
"19"	"VOG0024"	"Bacteria"	5	5	2	1	"hypothetical protein [n=5]; "	"Mapped to: POG0024"	NA
"20"	"VOG0025"	"Bacteria+Archaea"	1644	1247	3	32	"putative DNA helicase [n=124]; DnaB-like helicase [n=113]; DNA primase/helicase [n=89]; hypothetical protein [n=83]; DNA helicase [n=81]; replicative DNA helicase [n=59]; DNA primase-helicase [n=56]; RecA-like protein [n=47]; RecA-like recombination protein [n=46]; helicase [n=42]; DNA primase-helicase subunit [n=37]; primase/helicase [n=32]; recombinase A [n=25]; UvsX RecA-like recombination protein [n=25]; UvsX [n=25]; RecA [n=25]; No annotation provided [n=23]; putative replicative DNA helicase [n=22]; putative helicase [n=21]; putative DNA primase/helicase [n=20]; replication and recombination DNA helicase [n=20]; dsDNA helicase [n=17]; DNA primase [n=17]; UvsX RecA-like protein [n=16]; 41 helicase [n=15]; recombination protein [n=14]; primase/helicase protein [n=14]; DNA replicative helicase/primase [n=13]; recombinase [n=13]; gp63 [n=10]; putative primase/helicase [n=10]; gp64 [n=9]; putative recombinase A [n=8]; gp67 [n=8]; DNA replication protein P [n=8]; gp41 DNA primase-helicase subunit [n=7]; gp61 [n=7]; DnaB helicase [n=6]; gp65 [n=6]; DNA helicase II [n=6]; gp69 [n=5]; putative DNA helicase DnaB-like protein [n=5]; gp62 [n=5]; helicase DnaB [n=5]; RecA protein [n=5]; DhlB [n=5]; gp68 [n=5]; helicase/primase [n=5]; DNA helicase I [n=5]; putative RecA protein [n=5]; DNAB-like helicase [n=5]; gp41 replication and recombination DNA helicase [n=5]; gp4A [n=5]; gp66 [n=5]; putative DnaB-like helicase [n=4]; gp117 [n=4]; RecA-like recombinase protein [n=4]; putative DNA recombination and repair protein RecA [n=4]; gp204 [n=4]; dnaB-like helicase C terminal domain protein [n=4]; putative phage DNA primase/helicase [n=4]; putative Replicative DNA helicase [n=4]; putative recA-like recombinase [n=4]; recombination and repair protein [n=4]; gp60 [n=4]; gp201 [n=4]; gp196 [n=4]; putative primase/helicase protein [n=3]; gp4B [n=3]; DNA recombination and repair protein [n=3]; gp203 [n=3]; gp211 [n=3]; putative DNA repair protein [n=3]; DNA repair protein [n=3]; gp209 [n=3]; DnaB family replicative helicase [n=3]; gp71 [n=3]; gp79 [n=3]; RecA-like recombinase [n=3]; gp80 [n=3]; gp81 [n=3]; gp114 [n=3]; DNA recombination/repair protein [n=3]; putative helicase 1 [n=3]; DNA primase/helicase-like protein [n=3]; replication protein P [n=3]; gp82 [n=3]; gp115 [n=2]; gp202 [n=2]; RecA-like recombinase protein UvsX [n=2]; P-loop_NTPase [n=2]; replicative helicase, DnaB family [n=2]; RecA/RadA recombinase [n=2]; Gp12 [n=2]; recA bacterial DNA recombination family protein [n=2]; predicted helicase [n=2]; T7-like phage primase/helicase protein [n=2]; DnaB [n=2]; gp193 [n=2]; gp210 [n=2]; gp116 [n=2]; ORF010 [n=2]; gp205 [n=2]; replicative DNA helicase DnaB [n=2]; DNA helicase DnaB [n=2]; gp70 [n=2]; gp119 [n=2]; Gp41 DNA primase-helicase subunit [n=2]; RadA [n=2]; ORF008 [n=2]; gene P protein [n=2]; primase helicase [n=2]; putative DNA primase-helicase subunit [n=2]; phage recombination protein [n=2]; putative recombinase RecA [n=2]; DNA primase/helicase, phage-associated [n=2]; Possible phage ATP-dependent primase-helicase [n=2]; DNA primase/helicase, TOPRIM [n=2]; D6 protein [n=2]; gp219 [n=2]; Putative DnaB-like helicase [n=2]; P protein [n=2]; gp72 [n=2]; gp212 [n=2]; Gp34 [n=2]; DNAB helicase [n=2]; putative DNA primase [n=2]; Replicative DNA helicase [n=2]; putative RecA-like protein [n=2]; DNA primase/helicase protein [n=2]; putative RecA-like recombination protein [n=2]; Ban [n=2]; gp113 [n=1]; phage-associated DNA primase/helicase [n=1]; gp197 [n=1]; DNA primase-helicase subunit [Enterobacteria phage vB_EcoM_ACG-C40] [n=1]; recombination and repair protein UvsX [n=1]; putative DNA replicative helicase/primase [n=1]; gp215 [n=1]; similar to P protein of bacteriophage HK022 [n=1]; putative recombinase RecA-like protein [n=1]; gp46 [n=1]; Putative DNA helicase [n=1]; putative primase/helicase (T4 gp41-like) [n=1]; DnaB-like replicative helicase [n=1]; putative DNA primase-helicase [n=1]; putative ATPase [n=1]; p41 [n=1]; phage-associated DNA primase helicase [n=1]; DNA replicative helicase/primase [Escherichia phage vB_EcoM_FFH2] [n=1]; gp191 [n=1]; gp41 helicase [n=1]; putative DNA replication protein P [n=1]; putative UvsX recA-like recombination protein [n=1]; ORF007 [n=1]; replicative DNA helicase, DnaB-like [n=1]; putative RecA-like DNA recombination protein [n=1]; UvsX recombination protein [n=1]; ORF015 [n=1]; gp4 [n=1]; hypothetical protein ORF011 [n=1]; P-loop NTPase [n=1]; Gp55 [n=1]; recombinasea [n=1]; RecA-like recombinase, UvsX [n=1]; putative DNA helicase 1 [n=1]; putative RecA [n=1]; RecA recombination protein [n=1]; putative DNA primase-helicase subunit gp41 [n=1]; recombinase A-like protein [n=1]; gp84 [n=1]; predicted DNA helicase [n=1]; gene 44 protein [n=1]; RecA recombinase [n=1]; replicative helicase [n=1]; putative DnaG-like primase [n=1]; putative DNA primase/helicase protein [n=1]; DNA recombinase [n=1]; DnaC helicase [n=1]; gp103 [n=1]; putative phage helicase [n=1]; helicase gp45 [n=1]; gp118 [n=1]; gp41 DNA primase-helicase [n=1]; predicted primase/helicase [n=1]; Phi92_gp161 [n=1]; DNA repair, RadA-like protein [n=1]; gp4a [n=1]; RecA-like recombination protein [Escherichia phage e11/2] [n=1]; ORF009 [n=1]; Putative phage DNA primase/helicase [n=1]; DNA helicase-like protein [n=1]; gp77 [n=1]; (RecA-like) recombination and repair protein [n=1]; DnaB-like protein [n=1]; UvsX RecA-like [n=1]; gp141 [n=1]; DnaB helicase C terminal domain protein [n=1]; DNA B helicase [n=1]; predicted DNA primase-helicase [n=1]; DNA replication protein [n=1]; Dna B-like helicase [n=1]; 4B [n=1]; prophage replicative DNA helicase [n=1]; ORF019 [n=1]; predicted primase helicase [n=1]; gp59 [n=1]; putative DNA helicase I [n=1]; recA-like recombination repair protein [n=1]; putative recombinase [n=1]; putative DNA helicase, putative DNA repair protein [n=1]; gp44 [n=1]; naB-like helicase C terminal domain protein [n=1]; similar to DNA helicase [n=1]; DNA recombinase RecA [n=1]; VHS1074 protein [n=1]; Rec [n=1]; gp41 replication and recombination DNA helicase [Enterobacteria phage RB14] [n=1]; P47 [n=1]; Helicase [n=1]; Putative DnaB-like replicative helicase [n=1]; putative primase helicase [n=1]; conserved hypothetical phage protein [n=1]; VHS1082 protein [n=1]; gp75 [n=1]; gp226 [n=1]; gp73 [n=1]; ATP-dependent helicase 41 [n=1]; gp54 [n=1]; AB1gp52 [n=1]; replicative helicase of the DnaB family [n=1]; putative replication protein RepB [n=1]; gp199 [n=1]; gp40 [n=1]; gp34 [n=1]; DNA primase/helicae [n=1]; recA-like recombination protein [n=1]; recA recombinase [n=1]; gp190 [n=1]; recA-like recombinase [n=1]; gp198 [n=1]; DnaB replicative DNA helicase [n=1]; putative DNA recombination protein RecA [n=1]; gp150 [n=1]; DNA helicase subunit of helicase-primase complex [n=1]; putative RecA-like recombinase [n=1]; gp207 [n=1]; DNA primase subunit [n=1]; putative phage replicative DNA helicase [n=1]; putative helicase/primase [n=1]; gp187 [n=1]; ORF014 [n=1]; gp195 [n=1]; gp21.1 [n=1]; ATPase [n=1]; DNA_B Helicase [n=1]; T4-like DNA primase-helicase [n=1]; putative UvsX protein [n=1]; Primase/Helicase [n=1]; DNA B-like helicase [n=1]; putative DNA primase\helicase [n=1]; T7-like primase/helicase [n=1]; gp12 [n=1]; DNA heicase [n=1]; gp41 replication and recombination DNA primase-helicase [n=1]; RecA-like DNA recombinase [n=1]; gp407 [n=1]; putative DNA B-like helicase [n=1]; gp83 [n=1]; dnaB [n=1]; gp52 [n=1]; putative UvsX RecA-like protein [n=1]; RPprimase/helicase [n=1]; Phage recombination protein [n=1]; gp57 [n=1]; putative DNA polymerase III Delta prime subunit [n=1]; DNA primase / helicase [n=1]; putative replicative helicase [n=1]; putative RecA-like DNA recombinase [n=1]; predicted phage DNA Helicase [n=1]; putative DNA helicase subunit [n=1]; "	"Union of: POG0025; POG0097; POG1341; POG2316; POG1054; POG2396"	NA
"21"	"VOG0026"	"Bacteria"	997	942	3	25	"DNA polymerase [n=254]; DNA polymerase I [n=240]; putative DNA polymerase [n=99]; No annotation provided [n=38]; hypothetical protein [n=33]; gp45 [n=22]; putative DNA polymerase I [n=21]; DNA polymerase II [n=14]; gp44 [n=13]; gp60 [n=11]; DNA polymerase A [n=10]; gp62 [n=10]; DNA polymerase 1 [n=7]; gp59 [n=7]; gp43 [n=7]; gp5 [n=7]; putative DNA polymerase A [n=6]; PolA [n=6]; putative T7-like Pol I DNA polymerase [n=6]; gp61 [n=5]; gp46 [n=5]; gp47 [n=5]; DNA polymerase family A [n=5]; gp58 [n=5]; gp54 [n=5]; DNA-directed DNA polymerase [n=4]; putative DNA-directed DNA polymerase protein, family A [n=4]; gp48 [n=4]; gp42 [n=4]; N4 gp39-like protein [n=3]; DNA polymerase1 [n=3]; putative exonuclease [n=3]; gp38 [n=3]; putative DNA Polymerase [n=3]; putative DNA polymerase 1 [n=3]; gp57 [n=3]; gp39 [n=3]; DNA polymerase-like protein [n=3]; putative DNA polymerase 2 [n=3]; DNA polymerase 2 [n=2]; putative DNA directed DNA polymerase [n=2]; gp56 [n=2]; DNA pol I [n=2]; DNA-directed DNA polymerase domain [n=2]; predicted DNA polymerase [n=2]; DNA polymerase A, part A [n=2]; gp11 [n=2]; DNA polymerase I, thermostable [n=2]; polymerase [n=2]; DNA polymerase domain A [n=2]; ORF003 [n=2]; Putative DNA polymerase I [n=2]; DNA polymerase A domain-like protein [n=2]; ORF004 [n=2]; DNA polymerase A domain protein [n=2]; bifunctional 3'-5' exonuclease/DNA polymerase [n=2]; DNA polymerase subunit [n=2]; DNA polymerase part II [n=2]; T7-like phage DNA Polymerase [n=2]; gp66 [n=1]; phage polymerase [n=1]; puative DNA polymerase [n=1]; T7-like DNA polymerase [n=1]; gp31 [n=1]; p39 [n=1]; gp44, DNA polymerase I [n=1]; P46 [n=1]; ORF019-like protein [n=1]; DNA polymerase C-terminal [n=1]; putative DNA polymerase A domain [n=1]; gp14 [n=1]; gp69 [n=1]; P45 [n=1]; putative DNA-directed DNA polymerase A [n=1]; DNA polymerase B family protein [n=1]; possible DNA polymerase subunit [n=1]; DnaQ-like exonuclease domain-like protein [n=1]; DNA polymerase I family A [n=1]; predicted phage DNA Polymerase [n=1]; ORF019 [n=1]; putative DNA polymerase lacking N-terminal exonuclase [n=1]; DNA directed DNA polymerase [n=1]; putative DNA-directed DNA polymerase protein [n=1]; T7-like phage DNA polymerase [n=1]; hypothetical protein ORF062 [n=1]; T7-like DNA polymerase nucleotidyl transferase [n=1]; VHS1103 protein [n=1]; 3'-5' exonuclease family protein [n=1]; P44 [n=1]; gp53 [n=1]; putative DNA polymerase [Escherichia phage 2 JES-2013] [n=1]; gp49 [n=1]; hypothetical protein ORF013 [n=1]; Putative DNA polymerase [n=1]; DNA polymerase lacking N-terminal exonuclease domain [n=1]; truncated putative DNA polymerase A.2 [n=1]; putative DNA Pol I [n=1]; RP DNA pol [n=1]; Bbp42 [n=1]; putative DNA polymerase/3'-5' exonuclease domain [n=1]; DNA-directed DNA polymerase-like protein [n=1]; DNAP [n=1]; gp41 [n=1]; putative DNA polymerase I/3'-5' exonuclease [n=1]; gp37 [n=1]; putative DNA polymerase, part I [n=1]; 5B protein [n=1]; gp141 [n=1]; phage encoded DNA polymerase I [n=1]; putative DNA polymerase protein [n=1]; putative DNA polymerase A.1 [n=1]; putative dna polymerase [n=1]; gp140 [n=1]; PolAn/PolAm/PolAc [n=1]; gp12 [n=1]; gp52 [n=1]; DNA-directed DNA polymerase, family A [n=1]; gp138 [n=1]; putative polymerase A [n=1]; gene 5B protein [n=1]; gp87 [n=1]; 13 [n=1]; "	"Union of: POG0026; POG0871"	"exonuclease"
"22"	"VOG0028"	"Bacteria"	477	477	3	13	"exonuclease [n=75]; hypothetical protein [n=48]; putative exodeoxyribonuclease [n=39]; 5'-3' exonuclease [n=29]; RNaseH ribonuclease [n=28]; RnaseH [n=26]; putative exonuclease [n=25]; putative 5'-3' exonuclease [n=17]; DNA polymerase I [n=15]; RNaseH [n=12]; flap endonuclease [n=12]; ribonuclease RNaseH [n=12]; putative DNA exonuclease [n=11]; exodeoxyribonuclease [n=10]; ribonuclease H [n=10]; ribonuclease [n=7]; No annotation provided [n=7]; putative 5'-3' exonuclease protein [n=6]; RNase H [n=4]; gp6 [n=4]; phage ribonuclease H [n=4]; DNA polymerase [n=3]; exonuclease-like protein [n=3]; predicted exonuclease [n=3]; RnaseH ribonuclease [n=3]; Putative exodeoxyribonuclease [n=3]; DNA exonuclease [n=3]; putative RNaseH [n=2]; T7-like phage exonuclease [n=2]; Putative phage RNase H [n=2]; putative DNA polymerase I [n=2]; 5'-3'-exonuclease [n=2]; exonulease [n=2]; 5'-3' exonuclease-like protein [n=1]; RNaseH [Enterobacteria phage RB32] [n=1]; 5' - 3' exonuclease [n=1]; putative ribonuclease H [n=1]; 5' to 3' exonuclease [n=1]; putative 5'-exodeoxyribonuclease [n=1]; Rnase H [n=1]; predicted phage DNA Exonuclease [n=1]; similar to exonulease [n=1]; exonucluease [n=1]; gp32.85 [n=1]; putative phage DNA Exonuclease [n=1]; Rnase H ribonuclease [n=1]; T7-like exonuclease [n=1]; putative 5'-3'exonuclease [n=1]; putative exodeoxyribonuclease [Escherichia phage vB_EcoM_FFH2] [n=1]; gp83 [n=1]; rnaseH [n=1]; rnh RNaseH ribonuclease [n=1]; endonuclease [n=1]; 5\'-3\' exonuclease-like protein [n=1]; putative dna polymerase [n=1]; 5'-exonuclease similar to N-terminal domains of DNA polymerase I [n=1]; conserved hypothetical phage protein [n=1]; 20 [n=1]; putative DNA polymerase [n=1]; putative 5' to 3' exonuclease [n=1]; RNase H-like 5'-3' exonuclease [n=1]; 5'-3'exonuclease [n=1]; rnh RNaseH [n=1]; gp690 [n=1]; Phi92_gp085 [n=1]; Rnh RNaseH [n=1]; p37 [n=1]; DNA polymerase I thermostable [n=1]; P41 [n=1]; putative RnaseH [n=1]; putative RNaseH ribonuclease [n=1]; putative RNase H [n=1]; hypothetical protein ORF018 [n=1]; Putative RnaseH ribonuclease [n=1]; RNase H ribonuclease [n=1]; 5 -3 exonuclease [n=1]; 5' to 3' exonuclease-like protein [n=1]; RNaseH ribonuclease [Enterobacteria phage T4] [n=1]; "	"Mapped to: POG0028"	"endonuclease"
"23"	"VOG0029"	"Bacteria"	70	70	1	2	"hypothetical protein [n=31]; tail assembly protein [n=19]; gp7.3 [n=6]; host specificity protein B [n=3]; No annotation provided [n=2]; putative tail assembly protein [n=2]; virion structural protein [n=1]; virion protein ejected into cell [n=1]; gp29 [n=1]; 28 [n=1]; phage virion protein [n=1]; host rangep rotein [n=1]; conserved phage virion protein [n=1]; "	"Union of: POG0029; POG1064"	"tail assembly protein"
"24"	"VOG0030"	"Bacteria"	203	203	1	5	"head-tail connector protein [n=33]; head-to-tail joining protein [n=27]; putative head-tail connector protein [n=20]; hypothetical protein [n=20]; gp8 [n=7]; collar protein [n=6]; putative head-to-tail joining protein [n=6]; head-tail connector [n=5]; head portal protein [n=5]; head to tail joining protein [n=5]; head-to-tail connector (portal) [n=5]; No annotation provided [n=5]; Head portal-like protein [n=4]; putative head-tail connector [n=4]; head to tail connecting protein [n=3]; putative phage-related head-to-tail joining protein [n=3]; head to tail connector [n=3]; head portal-like protein [n=3]; collar / head-to-tail joining protein [n=3]; portal protein [n=3]; putative head portal-like protein [n=2]; head-tail joining protein [n=2]; putative head to tail joining protein [n=2]; Phage collar / T7-like phage head-to-tail joining protein [n=2]; collar/head-to-tail joining protein [n=2]; Head-to-tail joining protein [n=2]; predicted head to tail connector protein [n=2]; predicted phage head-tail connector protein [n=1]; bacteriophage head-to-tail connecting protein [n=1]; putative phage head-tail connector protein [n=1]; conserved hypothetical phage protein [n=1]; phage collar [n=1]; putative head portal protein [n=1]; phage head-tail connector protein [n=1]; predicted head to tail joining protein [n=1]; T7-like head-to-tail connector [n=1]; Putative head-tail connector [n=1]; 29 [n=1]; putative head-to-tail-connector [n=1]; head-to-tail connecting protein [n=1]; virion structural protein [n=1]; head-to-tail connector protein [n=1]; phage head-to-tail joining protein, podovirus-type [n=1]; head/tail connector protein [n=1]; phage collar protein [n=1]; putative collar protein [n=1]; "	"Mapped to: POG0030"	"portal"
"25"	"VOG0031"	"Bacteria"	171	171	1	3	"capsid assembly protein [n=38]; putative scaffolding protein [n=32]; scaffolding protein [n=19]; hypothetical protein [n=17]; capsid and scaffold protein [n=13]; putative capsid assembly protein [n=8]; scaffold protein [n=6]; capsid assembly protein (scaffold) [n=5]; gp9 [n=4]; Scaffolding-like protein [n=4]; scaffolding-like protein [n=4]; predicted capsid assembly protein [n=3]; Phage capsid and scaffold [n=2]; putative scaffolding-like protein [n=2]; capsid scaffolidng protein [n=1]; putative T7-like capsid assembly protein [n=1]; putative scaffolding [n=1]; No annotation provided [n=1]; 30 [n=1]; conserved hypothetical phage protein [n=1]; putative scaffold protein [n=1]; phage capsid assembly protein [n=1]; putative capsid and scaffold protein [n=1]; scaffold-like protein [n=1]; T7-like capsid assembly protein [n=1]; phage capsid and scaffold protein [n=1]; predicted phage capsid scaffolding protein [n=1]; "	"Union of: POG0031; POG1079"	"scaffolding protein"
